[13:07:30] : REQUEST MEAS. OFF
[13:07:43] : REQUEST MEAS. ON
[13:07:44] : REQUEST MEAS. OFF
[13:07:58] : REQUEST MEAS. ON
[13:07:59] : REQUEST MEAS. OFF
[13:08:12] : REQUEST MEAS. ON
[13:08:13] : REQUEST MEAS. OFF
[13:08:27] : REQUEST MEAS. ON
[13:08:28] : REQUEST MEAS. OFF
[13:08:42] : REQUEST MEAS. ON
[13:08:43] : REQUEST MEAS. OFF
[13:08:56] : REQUEST MEAS. ON
[13:08:57] : REQUEST MEAS. OFF
[13:09:11] : REQUEST MEAS. ON
[13:09:12] : REQUEST MEAS. OFF
[13:11:48] : REQUEST MEAS. ON
[13:11:49] : REQUEST MEAS. OFF
[13:12:15] : REQUEST ZEROSET ON
[13:12:16] : REQUEST ZEROSET OFF
[13:12:32] : REQUEST ZEROSET ON
[13:12:34] : REQUEST ZEROSET OFF
[13:12:50] : REQUEST ZEROSET ON
[13:12:51] : REQUEST ZEROSET OFF
[13:14:01] : REQUEST MEAS. ON
[13:14:02] : REQUEST MEAS. OFF
[13:14:22] : REQUEST MEAS. ON
[13:14:23] : REQUEST MEAS. OFF
[13:14:43] : REQUEST MEAS. ON
[13:14:44] : REQUEST MEAS. OFF
[13:15:02] : REQUEST MEAS. ON
[13:15:03] : REQUEST MEAS. OFF
[13:15:29] : REQUEST ZEROSET ON
[13:15:30] : REQUEST ZEROSET OFF
[13:15:50] : REQUEST ZEROSET ON
[13:15:51] : REQUEST ZEROSET OFF
[13:16:11] : REQUEST MEAS. ON
[13:16:12] : REQUEST MEAS. OFF
[13:16:29] : REQUEST MEAS. ON
[13:16:30] : REQUEST MEAS. OFF
[13:16:48] : REQUEST MEAS. ON
[13:16:49] : REQUEST MEAS. OFF
[13:17:05] : REQUEST MEAS. ON
[13:17:06] : REQUEST MEAS. OFF
[13:17:22] : REQUEST MEAS. ON
[13:17:24] : REQUEST MEAS. OFF
[13:17:39] : REQUEST MEAS. ON
[13:17:40] : REQUEST MEAS. OFF
[13:17:55] : REQUEST MEAS. ON
[13:17:56] : REQUEST MEAS. OFF
[13:18:09] : REQUEST MEAS. ON
[13:18:11] : REQUEST MEAS. OFF
[13:18:24] : REQUEST MEAS. ON
[13:18:25] : REQUEST MEAS. OFF
