[10:06:02] : REQUEST MEAS. ON
[10:06:03] : REQUEST MEAS. OFF
[10:16:51] : REQUEST MEAS. ON
[10:16:52] : REQUEST MEAS. OFF
[10:17:06] : REQUEST MEAS. ON
[10:17:07] : REQUEST MEAS. OFF
[10:17:21] : REQUEST MEAS. ON
[10:17:22] : REQUEST MEAS. OFF
[10:17:36] : REQUEST MEAS. ON
[10:17:37] : REQUEST MEAS. OFF
[10:17:50] : REQUEST MEAS. ON
[10:17:51] : REQUEST MEAS. OFF
[10:18:05] : REQUEST MEAS. ON
[10:18:06] : REQUEST MEAS. OFF
[10:18:20] : REQUEST MEAS. ON
[10:18:21] : REQUEST MEAS. OFF
[10:18:35] : REQUEST MEAS. ON
[10:18:36] : REQUEST MEAS. OFF
[10:18:50] : REQUEST MEAS. ON
[10:18:51] : REQUEST MEAS. OFF
[10:19:05] : REQUEST MEAS. ON
[10:19:06] : REQUEST MEAS. OFF
[10:19:29] : REQUEST MEAS. ON
[10:19:30] : REQUEST MEAS. OFF
[10:19:44] : REQUEST MEAS. ON
[10:19:45] : REQUEST MEAS. OFF
[10:19:58] : REQUEST MEAS. ON
[10:19:59] : REQUEST MEAS. OFF
[10:20:13] : REQUEST MEAS. ON
[10:20:14] : REQUEST MEAS. OFF
[10:20:28] : REQUEST MEAS. ON
[10:20:29] : REQUEST MEAS. OFF
[10:20:43] : REQUEST MEAS. ON
[10:20:44] : REQUEST MEAS. OFF
[10:20:58] : REQUEST MEAS. ON
[10:20:59] : REQUEST MEAS. OFF
[10:21:13] : REQUEST MEAS. ON
[10:21:14] : REQUEST MEAS. OFF
[10:21:40] : REQUEST MEAS. ON
[10:21:41] : REQUEST MEAS. OFF
[10:21:55] : REQUEST MEAS. ON
[10:21:56] : REQUEST MEAS. OFF
[10:22:10] : REQUEST MEAS. ON
[10:22:11] : REQUEST MEAS. OFF
[10:22:25] : REQUEST MEAS. ON
[10:22:26] : REQUEST MEAS. OFF
[10:22:40] : REQUEST MEAS. ON
[10:22:41] : REQUEST MEAS. OFF
[10:22:55] : REQUEST MEAS. ON
[10:22:56] : REQUEST MEAS. OFF
[10:23:10] : REQUEST MEAS. ON
[10:23:11] : REQUEST MEAS. OFF
[10:23:24] : REQUEST MEAS. ON
[10:23:25] : REQUEST MEAS. OFF
[10:23:39] : REQUEST MEAS. ON
[10:23:40] : REQUEST MEAS. OFF
[10:23:54] : REQUEST MEAS. ON
[10:23:55] : REQUEST MEAS. OFF
[10:24:09] : REQUEST MEAS. ON
[10:24:10] : REQUEST MEAS. OFF
[10:24:24] : REQUEST MEAS. ON
[10:24:25] : REQUEST MEAS. OFF
[10:24:39] : REQUEST MEAS. ON
[10:24:40] : REQUEST MEAS. OFF
[10:24:54] : REQUEST MEAS. ON
[10:24:55] : REQUEST MEAS. OFF
[10:25:09] : REQUEST MEAS. ON
[10:25:10] : REQUEST MEAS. OFF
[10:25:24] : REQUEST MEAS. ON
[10:25:25] : REQUEST MEAS. OFF
[10:25:38] : REQUEST MEAS. ON
[10:25:39] : REQUEST MEAS. OFF
[10:25:53] : REQUEST MEAS. ON
[10:25:54] : REQUEST MEAS. OFF
[10:26:08] : REQUEST MEAS. ON
[10:26:09] : REQUEST MEAS. OFF
[10:26:23] : REQUEST MEAS. ON
[10:26:24] : REQUEST MEAS. OFF
[10:26:38] : REQUEST MEAS. ON
[10:26:39] : REQUEST MEAS. OFF
[10:26:53] : REQUEST MEAS. ON
[10:26:54] : REQUEST MEAS. OFF
[10:27:08] : REQUEST MEAS. ON
[10:27:09] : REQUEST MEAS. OFF
[10:27:23] : REQUEST MEAS. ON
[10:27:24] : REQUEST MEAS. OFF
[10:27:37] : REQUEST MEAS. ON
[10:27:38] : REQUEST MEAS. OFF
[10:27:52] : REQUEST MEAS. ON
[10:27:53] : REQUEST MEAS. OFF
[10:28:07] : REQUEST MEAS. ON
[10:28:08] : REQUEST MEAS. OFF
[10:28:22] : REQUEST MEAS. ON
[10:28:23] : REQUEST MEAS. OFF
[10:28:37] : REQUEST MEAS. ON
[10:28:38] : REQUEST MEAS. OFF
[10:28:52] : REQUEST MEAS. ON
[10:28:53] : REQUEST MEAS. OFF
[10:46:46] : REQUEST MEAS. ON
[10:46:47] : REQUEST MEAS. OFF
[10:47:01] : REQUEST MEAS. ON
[10:47:02] : REQUEST MEAS. OFF
[10:47:16] : REQUEST MEAS. ON
[10:47:17] : REQUEST MEAS. OFF
[10:47:31] : REQUEST MEAS. ON
[10:47:32] : REQUEST MEAS. OFF
[10:47:46] : REQUEST MEAS. ON
[10:47:47] : REQUEST MEAS. OFF
[10:48:01] : REQUEST MEAS. ON
[10:48:02] : REQUEST MEAS. OFF
[10:48:16] : REQUEST MEAS. ON
[10:48:17] : REQUEST MEAS. OFF
[10:49:45] : REQUEST MEAS. ON
[10:49:46] : REQUEST MEAS. OFF
[10:50:00] : REQUEST MEAS. ON
[10:50:01] : REQUEST MEAS. OFF
[10:50:15] : REQUEST MEAS. ON
[10:50:16] : REQUEST MEAS. OFF
[10:50:29] : REQUEST MEAS. ON
[10:50:30] : REQUEST MEAS. OFF
[10:50:45] : REQUEST MEAS. ON
[10:50:46] : REQUEST MEAS. OFF
[10:54:59] : REQUEST MEAS. ON
[10:55:00] : REQUEST MEAS. OFF
[10:55:15] : REQUEST MEAS. ON
[10:55:16] : REQUEST MEAS. OFF
[10:55:31] : REQUEST MEAS. ON
[10:55:32] : REQUEST MEAS. OFF
[10:55:46] : REQUEST MEAS. ON
[10:55:47] : REQUEST MEAS. OFF
[10:56:02] : REQUEST MEAS. ON
[10:56:03] : REQUEST MEAS. OFF
[10:56:17] : REQUEST MEAS. ON
[10:56:18] : REQUEST MEAS. OFF
[10:56:32] : REQUEST MEAS. ON
[10:56:33] : REQUEST MEAS. OFF
[10:56:47] : REQUEST MEAS. ON
[10:56:49] : REQUEST MEAS. OFF
[10:57:02] : REQUEST MEAS. ON
[10:57:03] : REQUEST MEAS. OFF
[10:57:17] : REQUEST MEAS. ON
[10:57:18] : REQUEST MEAS. OFF
[10:57:32] : REQUEST MEAS. ON
[10:57:33] : REQUEST MEAS. OFF
[10:57:47] : REQUEST MEAS. ON
[10:57:48] : REQUEST MEAS. OFF
[10:58:02] : REQUEST MEAS. ON
[10:58:03] : REQUEST MEAS. OFF
[10:58:17] : REQUEST MEAS. ON
[10:58:18] : REQUEST MEAS. OFF
[10:58:32] : REQUEST MEAS. ON
[10:58:33] : REQUEST MEAS. OFF
[10:58:47] : REQUEST MEAS. ON
[10:58:48] : REQUEST MEAS. OFF
[10:59:02] : REQUEST MEAS. ON
[10:59:03] : REQUEST MEAS. OFF
[10:59:17] : REQUEST MEAS. ON
[10:59:18] : REQUEST MEAS. OFF
[10:59:32] : REQUEST MEAS. ON
[10:59:33] : REQUEST MEAS. OFF
[10:59:47] : REQUEST MEAS. ON
[10:59:48] : REQUEST MEAS. OFF
[11:00:02] : REQUEST MEAS. ON
[11:00:03] : REQUEST MEAS. OFF
[11:00:17] : REQUEST MEAS. ON
[11:00:19] : REQUEST MEAS. OFF
[11:00:33] : REQUEST MEAS. ON
[11:00:34] : REQUEST MEAS. OFF
[11:00:48] : REQUEST MEAS. ON
[11:00:49] : REQUEST MEAS. OFF
[11:01:16] : REQUEST MEAS. ON
[11:01:17] : REQUEST MEAS. OFF
[11:01:31] : REQUEST MEAS. ON
[11:01:32] : REQUEST MEAS. OFF
[11:01:46] : REQUEST MEAS. ON
[11:01:47] : REQUEST MEAS. OFF
[11:33:43] : REQUEST MEAS. ON
[11:33:45] : REQUEST MEAS. OFF
[11:34:14] : REQUEST MEAS. ON
[11:34:15] : REQUEST MEAS. OFF
[11:34:35] : REQUEST MEAS. ON
[11:34:36] : REQUEST MEAS. OFF
[11:34:50] : REQUEST MEAS. ON
[11:34:51] : REQUEST MEAS. OFF
[11:35:05] : REQUEST MEAS. ON
[11:35:06] : REQUEST MEAS. OFF
[11:35:20] : REQUEST MEAS. ON
[11:35:21] : REQUEST MEAS. OFF
[11:35:35] : REQUEST MEAS. ON
[11:35:36] : REQUEST MEAS. OFF
[11:35:51] : REQUEST MEAS. ON
[11:35:53] : REQUEST MEAS. OFF
[11:36:06] : REQUEST MEAS. ON
[11:36:07] : REQUEST MEAS. OFF
[11:36:21] : REQUEST MEAS. ON
[11:36:22] : REQUEST MEAS. OFF
[11:36:36] : REQUEST MEAS. ON
[11:36:38] : REQUEST MEAS. OFF
[11:36:51] : REQUEST MEAS. ON
[11:36:52] : REQUEST MEAS. OFF
[11:37:06] : REQUEST MEAS. ON
[11:37:07] : REQUEST MEAS. OFF
[11:37:21] : REQUEST MEAS. ON
[11:37:22] : REQUEST MEAS. OFF
[11:37:36] : REQUEST MEAS. ON
[11:37:37] : REQUEST MEAS. OFF
[11:49:17] : REQUEST MEAS. ON
[11:49:19] : REQUEST MEAS. OFF
[11:49:32] : REQUEST MEAS. ON
[11:49:33] : REQUEST MEAS. OFF
[11:49:48] : REQUEST MEAS. ON
[11:49:49] : REQUEST MEAS. OFF
 
[11:50:03] : REQUEST MEAS. ON
[11:50:04] : REQUEST MEAS. OFF
[11:50:17] : REQUEST MEAS. ON
[11:50:18] : REQUEST MEAS. OFF
[11:50:32] : REQUEST MEAS. ON
[11:50:33] : REQUEST MEAS. OFF
[11:50:46] : REQUEST MEAS. ON
[11:50:47] : REQUEST MEAS. OFF
[11:51:01] : REQUEST MEAS. ON
[11:51:02] : REQUEST MEAS. OFF
[11:51:15] : REQUEST MEAS. ON
[11:51:16] : REQUEST MEAS. OFF
[11:51:30] : REQUEST MEAS. ON
[11:51:31] : REQUEST MEAS. OFF
