[19:15:44] : Plc Error Timer
[19:15:50] : Plc Error Timer
[19:15:57] : Plc Error Timer
[19:16:04] : Plc Error Timer
[19:16:10] : Plc Error Timer
[19:16:17] : Plc Error Timer
[19:16:23] : Plc Error Timer
[19:16:29] : Plc Error Timer
[19:16:35] : Plc Error Timer
[19:16:41] : Plc Error Timer
[19:16:47] : Plc Error Timer
[19:16:53] : Plc Error Timer
[19:16:59] : Plc Error Timer
[19:17:05] : Plc Error Timer
[19:17:11] : Plc Error Timer
[19:17:18] : Plc Error Timer
[19:17:24] : Plc Error Timer
[19:17:30] : Plc Error Timer
[19:17:36] : Plc Error Timer
[19:17:42] : Plc Error Timer
[19:17:48] : Plc Error Timer
[19:17:54] : Plc Error Timer
[19:18:00] : Plc Error Timer
[19:18:06] : Plc Error Timer
[19:18:12] : Plc Error Timer
[19:18:19] : Plc Error Timer
[19:18:25] : Plc Error Timer
[19:18:31] : Plc Error Timer
[19:18:38] : PROGRAM END
 
[19:18:42] : PROGRAM START
[19:18:48] : Plc Error Timer
[19:18:54] : Plc Error Timer
[19:19:00] : Plc Error Timer
[19:19:06] : Plc Error Timer
[19:19:12] : Plc Error Timer
[19:19:18] : Plc Error Timer
[19:19:24] : Plc Error Timer
[19:19:30] : Plc Error Timer
[19:19:36] : Plc Error Timer
[19:19:42] : Plc Error Timer
[19:19:49] : Plc Error Timer
[19:19:51] : PROGRAM END
 
[19:19:55] : PROGRAM START
[19:20:01] : Plc Error Timer
[19:20:07] : Plc Error Timer
[19:20:11] : TCP FAIL 1
[19:20:13] : Plc Error Timer
[19:20:19] : Plc Error Timer
[19:20:22] : PROGRAM END
 
[19:20:26] : PROGRAM START
[19:20:32] : Plc Error Timer
[19:20:38] : Plc Error Timer
[19:20:53] : PROGRAM END
 
[19:21:35] : PROGRAM START
[19:21:41] : PROGRAM END
 
[19:21:53] : PROGRAM START
[19:21:59] : Plc Error Timer
[19:22:05] : Plc Error Timer
[19:22:11] : Plc Error Timer
[19:22:17] : Plc Error Timer
[19:22:23] : Plc Error Timer
[19:22:29] : Plc Error Timer
[19:22:35] : Plc Error Timer
[19:22:41] : Plc Error Timer
[19:22:47] : Plc Error Timer
[19:22:53] : Plc Error Timer
[19:23:00] : Plc Error Timer
[19:23:06] : Plc Error Timer
[19:23:12] : Plc Error Timer
[19:23:18] : Plc Error Timer
[19:23:24] : Plc Error Timer
[19:23:30] : Plc Error Timer
[19:23:36] : Plc Error Timer
[19:23:42] : Plc Error Timer
[19:23:48] : Plc Error Timer
[19:23:54] : Plc Error Timer
[19:24:01] : Plc Error Timer
[19:24:07] : Plc Error Timer
[19:24:13] : Plc Error Timer
[19:24:20] : Plc Error Timer
[19:24:26] : Plc Error Timer
[19:24:32] : Plc Error Timer
[19:24:38] : Plc Error Timer
[19:24:44] : Plc Error Timer
[19:24:50] : Plc Error Timer
[19:24:56] : Plc Error Timer
[19:25:02] : Plc Error Timer
[19:25:08] : Plc Error Timer
[19:25:15] : Plc Error Timer
[19:25:21] : Plc Error Timer
[19:25:27] : Plc Error Timer
[19:25:33] : Plc Error Timer
[19:25:39] : Plc Error Timer
[19:25:45] : Plc Error Timer
[19:25:51] : Plc Error Timer
[19:25:57] : Plc Error Timer
[19:26:03] : Plc Error Timer
[19:26:09] : Plc Error Timer
[19:26:16] : Plc Error Timer
[19:26:22] : Plc Error Timer
[19:26:28] : Plc Error Timer
[19:26:34] : Plc Error Timer
[19:26:40] : Plc Error Timer
[19:26:46] : Plc Error Timer
[19:26:52] : Plc Error Timer
[19:26:58] : Plc Error Timer
[19:27:04] : Plc Error Timer
[19:27:10] : Plc Error Timer
[19:27:17] : Plc Error Timer
[19:27:23] : Plc Error Timer
[19:27:29] : Plc Error Timer
[19:27:35] : Plc Error Timer
[19:27:41] : Plc Error Timer
[19:27:47] : Plc Error Timer
[19:27:53] : Plc Error Timer
[19:27:59] : Plc Error Timer
[19:28:05] : Plc Error Timer
[19:28:10] : PROGRAM END
 
[19:28:13] : PROGRAM START
[19:28:19] : Plc Error Timer
[19:28:25] : Plc Error Timer
[19:28:31] : Plc Error Timer
[19:28:37] : Plc Error Timer
[19:28:43] : Plc Error Timer
[19:28:49] : Plc Error Timer
[19:28:55] : Plc Error Timer
[19:29:01] : Plc Error Timer
[19:29:08] : PROGRAM END
 
[19:31:40] : PROGRAM START
[19:31:47] : Plc Error Timer
[19:31:53] : Plc Error Timer
[19:31:58] : PROGRAM END
 
[19:32:33] : PROGRAM START
[19:32:40] : Plc Error Timer
[19:32:46] : Plc Error Timer
[19:32:52] : Plc Error Timer
[19:32:58] : Plc Error Timer
[19:33:04] : Plc Error Timer
[19:33:10] : Plc Error Timer
[19:33:16] : Plc Error Timer
[19:33:22] : Plc Error Timer
[19:33:28] : Plc Error Timer
[19:33:34] : Plc Error Timer
[19:33:41] : Plc Error Timer
[19:33:47] : Plc Error Timer
[19:33:53] : Plc Error Timer
[19:33:59] : Plc Error Timer
[19:34:05] : Plc Error Timer
[19:34:11] : PROGRAM END
 
[19:34:26] : PROGRAM START
[19:34:33] : Plc Error Timer
[19:34:39] : Plc Error Timer
[19:34:45] : Plc Error Timer
[19:34:51] : PROGRAM END
 
[19:35:00] : PROGRAM START
[19:35:07] : Plc Error Timer
[19:35:13] : Plc Error Timer
[19:35:19] : Plc Error Timer
[19:35:25] : Plc Error Timer
[19:35:31] : Plc Error Timer
[19:35:37] : Plc Error Timer
[19:35:43] : Plc Error Timer
[19:35:49] : Plc Error Timer
[19:35:55] : Plc Error Timer
[19:36:01] : Plc Error Timer
[19:36:08] : Plc Error Timer
[19:36:14] : Plc Error Timer
[19:36:20] : Plc Error Timer
[19:36:26] : Plc Error Timer
[19:36:32] : Plc Error Timer
[19:36:38] : Plc Error Timer
[19:36:44] : Plc Error Timer
[19:36:50] : Plc Error Timer
[19:36:56] : Plc Error Timer
[19:37:02] : Plc Error Timer
[19:37:09] : Plc Error Timer
[19:37:15] : Plc Error Timer
[19:37:21] : Plc Error Timer
[19:37:27] : Plc Error Timer
[19:37:33] : Plc Error Timer
[19:37:39] : Plc Error Timer
[19:37:45] : Plc Error Timer
[19:37:51] : Plc Error Timer
[19:37:57] : Plc Error Timer
[19:38:03] : Plc Error Timer
[19:38:10] : Plc Error Timer
[19:38:16] : Plc Error Timer
[19:38:22] : Plc Error Timer
[19:38:28] : Plc Error Timer
[19:38:34] : Plc Error Timer
[19:38:40] : Plc Error Timer
[19:38:46] : Plc Error Timer
[19:38:52] : Plc Error Timer
[19:38:58] : Plc Error Timer
[19:39:04] : Plc Error Timer
[19:39:11] : Plc Error Timer
[19:39:17] : Plc Error Timer
[19:39:23] : Plc Error Timer
[19:39:29] : Plc Error Timer
[19:39:35] : Plc Error Timer
[19:39:41] : Plc Error Timer
[19:39:47] : Plc Error Timer
[19:39:53] : Plc Error Timer
[19:39:59] : Plc Error Timer
[19:40:05] : Plc Error Timer
[19:40:12] : Plc Error Timer
[19:40:18] : Plc Error Timer
[19:40:24] : Plc Error Timer
[19:40:30] : Plc Error Timer
[19:40:36] : Plc Error Timer
[19:40:42] : Plc Error Timer
[19:40:48] : Plc Error Timer
[19:40:54] : Plc Error Timer
[19:41:00] : Plc Error Timer
[19:41:06] : Plc Error Timer
[19:41:13] : Plc Error Timer
[19:41:19] : Plc Error Timer
[19:41:25] : Plc Error Timer
[19:41:31] : Plc Error Timer
[19:41:37] : Plc Error Timer
[19:41:43] : Plc Error Timer
[19:41:49] : Plc Error Timer
[19:41:55] : Plc Error Timer
[19:42:01] : Plc Error Timer
[19:42:07] : Plc Error Timer
[19:42:14] : Plc Error Timer
[19:42:20] : Plc Error Timer
[19:42:26] : Plc Error Timer
[19:42:32] : Plc Error Timer
[19:42:38] : Plc Error Timer
[19:42:44] : Plc Error Timer
[19:42:50] : Plc Error Timer
[19:42:56] : Plc Error Timer
[19:43:02] : Plc Error Timer
[19:43:08] : Plc Error Timer
[19:43:15] : Plc Error Timer
[19:43:21] : Plc Error Timer
[19:43:27] : Plc Error Timer
[19:43:33] : Plc Error Timer
[19:43:39] : Plc Error Timer
[19:43:45] : Plc Error Timer
[19:43:51] : Plc Error Timer
[19:43:57] : Plc Error Timer
[19:44:03] : Plc Error Timer
[19:44:09] : Plc Error Timer
[19:44:16] : Plc Error Timer
[19:44:22] : Plc Error Timer
[19:44:28] : Plc Error Timer
[19:44:34] : Plc Error Timer
[19:44:40] : Plc Error Timer
[19:44:46] : Plc Error Timer
[19:44:52] : Plc Error Timer
[19:44:58] : Plc Error Timer
[19:45:04] : Plc Error Timer
[19:45:10] : Plc Error Timer
[19:45:17] : Plc Error Timer
[19:45:23] : Plc Error Timer
[19:45:29] : Plc Error Timer
[19:45:35] : Plc Error Timer
[19:45:41] : Plc Error Timer
[19:45:47] : Plc Error Timer
[19:45:53] : Plc Error Timer
[19:45:59] : Plc Error Timer
[19:46:05] : Plc Error Timer
[19:46:11] : Plc Error Timer
[19:46:18] : Plc Error Timer
[19:46:24] : Plc Error Timer
[19:46:30] : Plc Error Timer
[19:46:36] : Plc Error Timer
[19:46:43] : PROGRAM END
 
[19:47:22] : PROGRAM START
[19:47:29] : Plc Error Timer
[19:47:35] : Plc Error Timer
[19:47:41] : Plc Error Timer
[19:47:47] : Plc Error Timer
[19:47:53] : Plc Error Timer
[19:47:59] : Plc Error Timer
[19:48:05] : Plc Error Timer
[19:48:11] : Plc Error Timer
[19:48:17] : Plc Error Timer
[19:48:23] : Plc Error Timer
[19:48:29] : Plc Error Timer
[19:48:36] : Plc Error Timer
[19:48:36] : AUTO RUNNING OFF
[19:48:36] : REQUEST MEAS. OFF
[19:48:36] : REQUEST ZEROSET OFF
[19:48:36] : REQUEST ZEROSET OFF
[19:49:17] : Plc Error Timer
[19:49:23] : Plc Error Timer
[19:49:29] : Plc Error Timer
[19:49:35] : Plc Error Timer
[19:50:10] : PROGRAM END
 
[19:51:34] : PROGRAM START
[19:51:36] : AUTO RUNNING OFF
[19:51:36] : REQUEST MEAS. OFF
[19:51:36] : REQUEST ZEROSET OFF
[19:51:36] : REQUEST ZEROSET OFF
[19:53:00] : Plc Error Timer
[19:53:06] : Plc Error Timer
[19:53:12] : Plc Error Timer
[19:53:20] : PROGRAM END
 
[19:53:23] : PROGRAM START
[19:53:25] : AUTO RUNNING OFF
[19:53:25] : REQUEST MEAS. OFF
[19:53:25] : REQUEST ZEROSET OFF
[19:53:25] : REQUEST ZEROSET OFF
[20:01:20] : Plc Error Timer
[20:03:23] : Plc Error Timer
[20:03:29] : Plc Error Timer
[20:03:35] : Plc Error Timer
[20:03:41] : Plc Error Timer
[20:03:47] : Plc Error Timer
[20:03:53] : Plc Error Timer
[20:03:59] : Plc Error Timer
[20:04:05] : Plc Error Timer
[20:04:11] : Plc Error Timer
[20:04:17] : Plc Error Timer
[20:04:24] : Plc Error Timer
[20:12:50] : Plc Error Timer
[20:12:59] : Plc Error Timer
[20:13:07] : Plc Error Timer
[20:13:13] : Plc Error Timer
[20:13:20] : Plc Error Timer
[20:13:27] : Plc Error Timer
[20:13:36] : Plc Error Timer
[20:22:30] : Plc Error Timer
[20:35:52] : Plc Error Timer
[20:51:51] : Plc Error Timer
[20:58:23] : Plc Error Timer
[20:58:42] : Plc Error Timer
[20:58:48] : Plc Error Timer
[20:58:59] : Plc Error Timer
 
